document_index,summarizer,normalizer,rouge_1,rouge_2,rouge_l,time_elapsed
1262,freq,raw,0.5058823529411764,0.46511627906976744,0.4656084656084656,0.0
285,freq,raw,0.8625,0.8375,0.5030674846625767,0.0
602,freq,raw,0.8307692307692308,0.8,0.5877192982456141,0.0
1248,freq,raw,0.9347826086956522,0.9032258064516129,0.26243093922651933,0.0
1943,freq,raw,0.8395061728395061,0.8170731707317073,0.4221105527638191,0.0
2099,freq,raw,0.9024390243902439,0.8765432098765432,0.32677165354330706,0.0
692,freq,raw,0.8405797101449275,0.7916666666666666,0.6756756756756757,0.0009996891021728516
1344,freq,raw,0.8064516129032258,0.7777777777777778,0.7701149425287356,0.0
1043,freq,raw,0.8857142857142857,0.855072463768116,0.3302325581395349,0.0
2146,freq,raw,0.8604651162790697,0.8372093023255814,0.5086705202312138,0.0
353,freq,raw,0.47619047619047616,0.4523809523809524,0.40375586854460094,0.0
339,freq,raw,0.8285714285714286,0.7857142857142857,0.576,0.0
1132,freq,raw,0.5384615384615384,0.5230769230769231,0.9402985074626866,0.0
1071,freq,raw,0.3793103448275862,0.3474576271186441,0.5825242718446602,0.0009999275207519531
772,freq,raw,0.6071428571428571,0.5752212389380531,0.4732510288065844,0.0009996891021728516
737,freq,raw,0.8636363636363636,0.8314606741573034,0.6408450704225352,0.0
2042,freq,raw,0.8571428571428571,0.8,0.47368421052631576,0.0
2185,freq,raw,0.49557522123893805,0.46017699115044247,0.6084656084656085,0.0
277,freq,raw,0.5138888888888888,0.49295774647887325,0.9358974358974359,0.0
651,freq,raw,0.5612244897959183,0.52,0.5284974093264249,0.0
614,freq,raw,0.49382716049382713,0.47560975609756095,0.875,0.0
1904,freq,raw,0.9247311827956989,0.90625,0.49246231155778897,0.0
351,freq,raw,0.2916666666666667,0.2777777777777778,0.6621621621621622,0.0
204,freq,raw,0.8433734939759037,0.8192771084337349,0.7747747747747747,0.0
1579,freq,raw,0.5542168674698795,0.5301204819277109,0.5862068965517241,0.0
1669,freq,raw,0.6060606060606061,0.5959595959595959,0.9607843137254902,0.0
606,freq,raw,0.5942028985507246,0.5857142857142857,0.5217391304347826,0.0
313,freq,raw,0.8354430379746836,0.8024691358024691,0.26688102893890675,0.0
1452,freq,raw,0.8260869565217391,0.7941176470588235,0.4166666666666667,0.0
2160,freq,raw,0.9333333333333333,0.9158878504672897,0.4007352941176471,0.0010037422180175781
987,freq,raw,0.803030303030303,0.7857142857142857,0.4378698224852071,0.0
557,freq,raw,0.48514851485148514,0.46,0.8031496062992126,0.0
47,freq,raw,0.46875,0.43564356435643564,0.9459459459459459,0.0
1296,freq,raw,0.8536585365853658,0.8192771084337349,0.6904761904761905,0.0
865,freq,raw,0.905511811023622,0.8846153846153846,0.6445497630331753,0.0
319,freq,raw,0.8289473684210527,0.7894736842105263,0.6782608695652174,0.0
629,freq,raw,0.031914893617021274,0.0,0.4549763033175355,0.0
1846,freq,raw,0.8651685393258427,0.8295454545454546,0.46153846153846156,0.0
2100,freq,raw,0.8536585365853658,0.8313253012048193,0.2986111111111111,0.0
1123,freq,raw,0.6451612903225806,0.6236559139784946,0.7307692307692307,0.0
110,freq,raw,0.8923076923076924,0.8484848484848485,0.3269230769230769,0.0009999275207519531
1328,freq,raw,0.5368421052631579,0.4787234042553192,0.9230769230769231,0.0
1728,freq,raw,0.9239130434782609,0.9010989010989011,0.2980769230769231,0.0
684,freq,raw,0.47761194029850745,0.43478260869565216,0.7171717171717171,0.0009996891021728516
436,freq,raw,0.8448275862068966,0.8032786885245902,0.37823834196891193,0.0
2152,freq,raw,0.9263157894736842,0.9108910891089109,0.4794520547945205,0.0
1682,freq,raw,0.8412698412698413,0.796875,0.536,0.0
1485,freq,raw,0.821917808219178,0.7945205479452054,0.872093023255814,0.0
717,freq,raw,0.7868852459016393,0.746031746031746,0.5909090909090909,0.0
2191,freq,raw,0.6428571428571429,0.6024096385542169,0.4473684210526316,0.0
751,freq,raw,0.8681318681318682,0.8461538461538461,0.9029126213592233,0.0009996891021728516
1902,freq,raw,0.27358490566037735,0.24528301886792453,0.5966850828729282,0.0
1650,freq,raw,0.24358974358974358,0.22077922077922077,0.42245989304812837,0.0
664,freq,raw,0.8493150684931506,0.8026315789473685,0.963855421686747,0.0
